fips_code,county_name,factor1_score,factor1_decile,factor1_quintile,tech_tablet,tech_smartphone,tech_desklaptop,hb_smoking,hb_alcohol,hb_active,hb_inactive,hb_fv_high,hb_fv_low,hb_obese_percent,oc_good_health,oc_poor_physicalhealth,oc_poor_mentalhealth,dem_women,dem_hispanic,dem_age,dem_veteran,food_desert,walkabilitiy,transit_distance,urban_rural,state,county_code
85172,Pinal,10510.083,6,3,54.23,92.139999,63.91,43.099998,21.4,19.700001,30.799999,13.7,20.799999,33,42.900002,16.200001,14.4,36.610001,66,27,2.26,0,4.165,,2,AZ,4021
85173,Pinal,6108.4375,1,1,49.599998,66.690002,51.419998,39.900002,18.299999,18.299999,33.599998,13.6,20.5,32.599998,39.099998,16.9,11.7,51.82,64.150002,54,7.5700002,1,5.7766666,,7,AZ,4021
85192,Gila,10161.493,5,3,32.110001,78.809998,77.120003,40.099998,19.1,19.4,31.299999,14.1,19.1,31.9,42.599998,16,11.7,48.59,56.279999,49,9.5100002,0,3.03,,2,AZ,4007
85193,Pinal,7305.0146,2,1,41.349998,80.860001,63.91,41.200001,20.9,19.4,30.799999,13.6,20.4,32.299999,43.400002,15.5,13.3,42.669998,51.360001,35,6.8200002,2,4.5159998,,1,AZ,4021
85194,Pinal,11511.506,7,4,60.32,84.82,88.190002,43.599998,19.1,20.6,28.299999,14.6,16.700001,30.799999,47.799999,15.8,11.6,49.450001,26.959999,56,15.81,0,5.2142859,,2,AZ,4021
85321,Pima,6873.6729,2,1,41.16,64.010002,56.939999,45.299999,18.200001,19.9,31.6,14.3,19,31.6,41.900002,17.799999,13.1,53.77,29.91,49,10.93,1,4.8800001,626.97498,7,AZ,4019
85336,Yuma,6668.1548,2,1,64.660004,87.360001,27.59,38.299999,21,19.9,32.200001,14,22,33.099998,39.599998,16,14,75.489998,100,24,0,0,6.0799999,930.73999,2,AZ,4027
85341,Pima,10807.329,6,3,100,100,100,44.099998,,,31.5,,,31.5,44.099998,,,37.25,100,60,0,1,5.5,,7,AZ,4019
85347,Yuma,6968.5112,2,1,32.82,100,67.940002,41.400002,20.4,19.5,30.799999,13.8,19.5,31.6,44.099998,15.7,12.7,44.98,80.919998,33,7.8600001,1,3.5799999,,10,AZ,4027
85349,Yuma,7630.5562,3,2,39.799999,77.07,58.189999,31.799999,21.5,19.4,32.5,13.7,23.299999,33,38.599998,13.7,12.7,49.240002,99.709999,29,1.4,1,7.915,594.88428,2,AZ,4027
85350,Yuma,9665.4268,5,3,42.779999,79.779999,57.509998,34.299999,21.6,20,31.6,13.5,22.9,32.299999,40.400002,13.6,12.9,43.16,86.730003,31,3.99,0,7.9000001,558.74628,2,AZ,4027
85352,Yuma,5383.7358,1,1,22.34,69.540001,39.59,41.799999,20.200001,19.299999,31.1,13.8,19.299999,31.4,44.099998,15.8,12.7,34.75,73.940002,46,3,1,4.3299999,,10,AZ,4027
